3GPP818ID,3GPP818_number,3GPP818_name,3GPP818_Purpose,3GPP818_benchmark
2.5,5.2.4.2.2.5.5,應使用加密協定進行連線,API連線可能含有機敏資料或參數，若連線未加密，可能有中間監聽竊取之疑慮，建議以TLS加密保護API之連線，API server之--tls-cert-file與 --tls-private-key-file參數建議設定合適之憑證。,確認系統API server之--tls-cert-file與 --tls-private-key-file參數設定
2.6,5.2.4.2.2.5.6,檔案寫入權限管控,管控檔案避免遭非法寫入，建議etcd、scheduler、controller-manager、API server pod的檔案權限設定為644，或更嚴格，若未妥善控管權限，可能有遭非法存取之疑慮。,確認etcd、scheduler、controller-manager、API server pod的檔案僅root有寫入權限
3.1,5.2.4.2.2.6.1,應有使用者行為之軌跡與紀錄,應妥善設定啟用稽核紀錄機制，若未啟用稽核紀錄，可能有無法追查及稽核問題之疑慮。,"1. 啟用稽核紀錄，使用Log backend(本地端檔案)或Webhook backend(遠端檔案)
2.於policy妥善定義規則"
4.1,5.2.4.2.2.7.1,應使用安全金鑰長度,檢視金鑰長度之強度，若使用脆弱金鑰，可能存在加密檔案遭破解之疑慮,"1. 密鑰金鑰長度至少2048以上
2. 公鑰長度至少256bits以上
3. 簽名演算法sha256以上"
4.2,5.2.4.2.2.7.2,應強化設定金鑰管理存取權限,檢視金鑰管理存取權限，若存取權限設置不檔，可能存在遭非法存取之疑慮,受測系統crt與key相關檔案設定644
4.3,5.2.4.2.2.7.3,應使用安全金鑰演算法,檢視金鑰加密演算法之強度，若使用脆弱金鑰，可能存在加密檔案遭破解之疑慮,"1. 密鑰金鑰長度至少2048以上
2. 公鑰長度至少256bits以上
3. 簽名演算法sha256以上"
4.7,5.2.4.2.2.7.8,應避免預設不安全設定,檢視是否使用default 之namespace，若使用default 之namespace，可能有非法存取之疑慮，建議針對不同服務需求或類型，設定不同namespace，強化與隔離存取權限之安全性。,未使用default 之namespace
4.8,5.2.4.2.2.7.9,應妥善設定重要檔案與資料夾存取權限,管控檔案避免遭非擁有者惡意使用，etcd、scheduler、controller-manager、API server pod的檔案權限設定為644，或更嚴格，若未妥善控管權限，可能有遭非法存取之疑慮,確認etcd、scheduler、controller-manager、API server pod的資料夾權限設定為644
4.11,5.2.4.2.2.7.12,稽核紀錄保存管理,檢視稽核紀錄與資料夾之存取權限，若未妥善設定稽核檔案存取權限，可能有遭非法存取與外洩之疑慮，建議啟用稽核紀錄與妥善設定稽核檔案存取權限為644。,確認稽核檔案存取權限至少為644
4.13,5.2.4.2.2.7.15,系統網路流量應妥善隔離或過濾,檢視是否妥善設定pod的網路控管制策，若未妥善安全設定，可能有導致pod遭非法存取之疑慮，預設是未設定pod網路管控政策，建議最小化設定網路存取，避免非法存取連線。,確認網路管控政策為最小化設定網路存取
5.1,5.2.4.2.2.8,應防範受感染或存在異常行為之UE發動之阻斷服務攻擊,檢視是否啟用admission control plugin，若未管控外部可疑連線，可能有遭非法存取或阻斷服務之疑慮。,啟用admission control plugin
6.1,5.2.4.2.2.9,避免合法使用者濫用權限,合法使用者濫用權限，執行管理者權限行為或存取機敏檔案，檢視是否針對每個pod設定專屬service account，若未客製化設定每個pod之service account，可能有遭非法存取之疑慮。,The default namespace should not be used 
6.2,5.2.4.2.2.9,避免最高權限擁有檔案遭非法濫用或寫入,檢視API server 、controller manager、scheduler、etcd、Container Network Interface之pod 規格檔案存取權限、擁有者及群組之政策設定，應僅有root可寫入或執行,"建議以下檔案設定644，或更嚴格
 /etc/kubernetes/manifests/kube-apiserver.yaml
 /etc/kubernetes/manifests/etcd.yaml
 /etc/kubernetes/manifests/kube-controller-manager.yaml
 /etc/kubernetes/manifests/kube-scheduler.yam"
